id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
1265,0,1,1,https://ehwei.users.sgg.whu.edu.cn,ehwei.users.sgg.whu.edu.cn,3,ehwei.users.sgg.whu.edu.cn,202.114.120.1,1,0,443,502,Bad Gateway,502 Bad Gateway,nginx/1.20.1,202.114.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1277,1,1,1,http://ehwei.users.sgg.whu.edu.cn,ehwei.users.sgg.whu.edu.cn,3,ehwei.users.sgg.whu.edu.cn,202.114.120.1,1,0,80,200,OK,魏二虎 | 武汉大学测绘学院,"nginx,PHP/7.3.11",202.114.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
553,0,0,1,https://eis.whu.edu.cn,eis.whu.edu.cn,1,eis.whu.edu.cn,210.42.122.152,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='eis.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0ef857ab50>: Failed to establish a new connection: [Errno 111] Connection refused'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,SiteDossierQuery
564,1,1,1,http://eis.whu.edu.cn,eis.whu.edu.cn,1,eis.whu.edu.cn,210.42.122.152,1,0,80,200,OK,武汉大学电子信息学院,Apache-Coyote/1.1,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,SiteDossierQuery
2168,1,1,1,https://ek.whu.edu.cn,ek.whu.edu.cn,3,ek.whu.edu.cn,210.42.121.221,1,0,443,200,,正在跳转...,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Finder
2209,1,1,1,http://ek.whu.edu.cn,ek.whu.edu.cn,3,ek.whu.edu.cn,210.42.121.221,1,0,80,200,,正在跳转...,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Finder
861,1,1,1,http://electrochem.whu.edu.cn,electrochem.whu.edu.cn,1,electrochem.whu.edu.cn,202.114.73.36,1,1,80,200,OK,Fuel Cell & Electrocatalysis Laboratory,Apache/2.2.3 (Linux/SUSE),202.114.72.0/23,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1264,0,0,1,https://electrochem.whu.edu.cn,electrochem.whu.edu.cn,1,electrochem.whu.edu.cn,202.114.73.36,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='electrochem.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f0f38778c10>, 'Connection to electrochem.whu.edu.cn timed out. (connect timeout=13)'))""),)",,,202.114.72.0/23,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
339,1,1,1,https://email.whu.edu.cn,email.whu.edu.cn,1,email.whu.edu.cn,115.156.124.13,1,1,443,200,,Coremail邮件系统,nginx,115.156.96.0/19,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,ChinazQuery
481,1,1,1,http://email.whu.edu.cn,email.whu.edu.cn,1,email.whu.edu.cn,115.156.124.13,1,1,80,200,,Coremail邮件系统,nginx,115.156.96.0/19,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,ChinazQuery
1436,1,1,1,http://emailgw.whu.edu.cn,emailgw.whu.edu.cn,1,whu.edu.cn,115.156.124.13,1,0,80,403,Forbidden,403 Forbidden,nginx,115.156.96.0/19,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RobtexQuery
1440,1,1,1,https://emailgw.whu.edu.cn,emailgw.whu.edu.cn,1,whu.edu.cn,115.156.124.13,1,0,443,403,Forbidden,403 Forbidden,nginx,115.156.96.0/19,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RobtexQuery
527,1,1,1,https://emba.whu.edu.cn,emba.whu.edu.cn,1,emba.whu.edu.cn,218.197.151.153,1,1,443,200,OK,武汉大学经济与管理学院EMBA教育中心,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,SiteDossierQuery
679,1,1,1,http://emba.whu.edu.cn,emba.whu.edu.cn,1,emba.whu.edu.cn,218.197.151.153,1,1,80,200,OK,武汉大学经济与管理学院EMBA教育中心,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,SiteDossierQuery
436,1,1,1,https://emlab.whu.edu.cn,emlab.whu.edu.cn,1,emlab.whu.edu.cn,218.197.151.153,1,1,443,200,OK,武汉大学经济与管理实验教学中心,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,SiteDossierQuery
581,1,1,1,http://emlab.whu.edu.cn,emlab.whu.edu.cn,1,emlab.whu.edu.cn,218.197.151.153,1,1,80,200,OK,武汉大学经济与管理实验教学中心,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,SiteDossierQuery
293,1,1,1,https://ems.whu.edu.cn,ems.whu.edu.cn,1,ems.whu.edu.cn,202.114.64.221,1,1,443,200,OK,武汉大学经济与管理学院,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,CertSpotterQuery
442,1,1,1,http://ems.whu.edu.cn,ems.whu.edu.cn,1,ems.whu.edu.cn,202.114.64.221,1,1,80,200,OK,武汉大学经济与管理学院,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,CertSpotterQuery
1164,1,1,1,https://emsbks.whu.edu.cn,emsbks.whu.edu.cn,1,emsbks.whu.edu.cn,218.197.151.153,1,1,443,200,OK,武汉大学经济与管理学院本科生学工网,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1343,1,1,1,http://emsbks.whu.edu.cn,emsbks.whu.edu.cn,1,emsbks.whu.edu.cn,218.197.151.153,1,1,80,200,OK,武汉大学经济与管理学院本科生学工网,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
2249,0,0,1,http://emscdc.whu.edu.cn,emscdc.whu.edu.cn,3,emscdc.whu.edu.cn,210.42.124.87,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='emscdc.whu.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f0cf9847b90>, 'Connection to emscdc.whu.edu.cn timed out. (connect timeout=13)'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Finder
2250,0,0,1,https://emscdc.whu.edu.cn,emscdc.whu.edu.cn,3,emscdc.whu.edu.cn,210.42.124.87,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='emscdc.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f0f3b655a10>, 'Connection to emscdc.whu.edu.cn timed out. (connect timeout=13)'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Finder
843,1,1,1,http://en-ima.whu.edu.cn,en-ima.whu.edu.cn,1,en-ima.whu.edu.cn,210.42.121.89,1,1,80,200,OK,"Institute of Model Animal, Wuhan University","Microsoft-IIS/7.5,ASP.NET",210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1249,0,0,1,https://en-ima.whu.edu.cn,en-ima.whu.edu.cn,1,en-ima.whu.edu.cn,210.42.121.89,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='en-ima.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f0f583cdc10>, 'Connection to en-ima.whu.edu.cn timed out. (connect timeout=13)'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1105,0,0,1,https://en.art.whu.edu.cn,en.art.whu.edu.cn,2,en.art.whu.edu.cn,210.42.122.155,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='en.art.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e9c2cf610>: Failed to establish a new connection: [Errno 113] No route to host'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1107,1,1,1,http://en.art.whu.edu.cn,en.art.whu.edu.cn,2,en.art.whu.edu.cn,210.42.122.155,1,1,80,200,OK,'\n',VWebServer/6.0.0,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1136,1,1,1,https://en.guoxue.whu.edu.cn,en.guoxue.whu.edu.cn,2,en.guoxue.whu.edu.cn,202.114.64.221,1,1,443,200,OK,国学院-英文网,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1354,1,1,1,http://en.guoxue.whu.edu.cn,en.guoxue.whu.edu.cn,2,en.guoxue.whu.edu.cn,202.114.64.221,1,1,80,200,OK,国学院-英文网,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
230,1,1,1,https://en.leifu.whu.edu.cn,en.leifu.whu.edu.cn,2,en.leifu.whu.edu.cn,202.114.64.221,1,1,443,200,OK,武汉大学付磊课题组英文网,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,CertSpotterQuery
375,1,1,1,http://en.leifu.whu.edu.cn,en.leifu.whu.edu.cn,2,en.leifu.whu.edu.cn,202.114.64.221,1,1,80,200,OK,武汉大学付磊课题组英文网,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,CertSpotterQuery
964,0,0,1,https://en.lib.whu.edu.cn,en.lib.whu.edu.cn,2,en.lib.whu.edu.cn,202.114.65.34,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='en.lib.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e7c59c910>: Failed to establish a new connection: [Errno 101] Network is unreachable'))""),)",,,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1127,1,1,1,http://en.lib.whu.edu.cn,en.lib.whu.edu.cn,2,en.lib.whu.edu.cn,202.114.65.34,1,1,80,200,OK,,"openresty/1.19.9.1,Servlet 2.4; JBoss-4.0.5.GA (build: CVSTag=Branch_4_0 date=200610162339)/Tomcat-5.5",202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1141,1,1,1,http://en.pharmacy.whu.edu.cn,en.pharmacy.whu.edu.cn,2,en.pharmacy.whu.edu.cn,202.114.64.221,1,1,80,200,OK,药学院-英文网,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1146,1,1,1,https://en.pharmacy.whu.edu.cn,en.pharmacy.whu.edu.cn,2,en.pharmacy.whu.edu.cn,202.114.64.221,1,1,443,200,OK,药学院-英文网,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1027,1,1,1,http://en.riel.whu.edu.cn,en.riel.whu.edu.cn,2,en.riel.whu.edu.cn,210.42.122.166,1,1,80,200,OK,Research Institute of Environmental Law of Wuhan University,************************************,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1445,0,0,1,https://en.riel.whu.edu.cn,en.riel.whu.edu.cn,2,en.riel.whu.edu.cn,210.42.122.166,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='en.riel.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e9c2dbd10>: Failed to establish a new connection: [Errno 111] Connection refused'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
992,0,0,1,https://en.sklse.whu.edu.cn,en.sklse.whu.edu.cn,2,en.sklse.whu.edu.cn,210.42.122.166,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='en.sklse.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0f78223a10>: Failed to establish a new connection: [Errno 111] Connection refused'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1024,1,1,1,http://en.sklse.whu.edu.cn,en.sklse.whu.edu.cn,2,en.sklse.whu.edu.cn,210.42.122.166,1,0,80,200,OK,State Key Laboratory of software engineering-State Key Laboratory of software engineering,Apache/2.4.23 (Win32) OpenSSL/1.0.2j,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1075,1,1,1,https://en.sph.whu.edu.cn,en.sph.whu.edu.cn,2,en.sph.whu.edu.cn,218.197.155.113,1,1,443,200,OK,,**********,218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1209,1,1,1,http://en.sph.whu.edu.cn,en.sph.whu.edu.cn,2,en.sph.whu.edu.cn,218.197.155.113,1,1,80,200,OK,,**********,218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
62,1,1,1,http://en.whu.edu.cn,en.whu.edu.cn,1,en.whu.edu.cn,218.197.155.4,1,1,80,200,OK,Wuhan University,,218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,IP138Query
65,1,1,1,https://en.whu.edu.cn,en.whu.edu.cn,1,en.whu.edu.cn,218.197.155.4,1,1,443,200,OK,Wuhan University,,218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,IP138Query
1452,0,0,1,https://enciv.whu.edu.cn,enciv.whu.edu.cn,1,enciv.whu.edu.cn,202.114.64.41,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='enciv.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e7c2d8f90>: Failed to establish a new connection: [Errno 101] Network is unreachable'))""),)",,,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,BaiduSearch
1454,1,1,1,http://enciv.whu.edu.cn,enciv.whu.edu.cn,1,enciv.whu.edu.cn,202.114.64.41,1,1,80,200,OK,WuHan University School of Civil Engineering,"*****************,*******",202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,BaiduSearch
